EVALUATION_BEGIN utc=2026-07-31T07:40:15.090Z monotonic_ns=2779601387120935
EMPTY_QUEUE_PREREQUISITES_BEGIN utc=2026-07-31T07:40:25.764Z monotonic_ns=2779612061656051
EMPTY_QUEUE_PREREQUISITES_READY utc=2026-07-31T07:40:26.956Z monotonic_ns=2779613253017498
SERVER_DRY_RUN_COMPLETE utc=2026-07-31T07:40:31.473Z monotonic_ns=2779617771704411
SMOKE_CREATE_BEGIN utc=2026-07-31T07:40:31.526Z monotonic_ns=2779617822372722
SMOKE_CREATE_RETURN utc=2026-07-31T07:40:32.201Z monotonic_ns=2779618497649761
SMOKE_COMPLETE_OBSERVED utc=2026-07-31T07:40:42.975Z monotonic_ns=2779629273009929
CAPTURE_smoke-final utc=2026-07-31T07:40:43.027Z monotonic_ns=2779629324080422
QUEUE_HOLDER_CREATE_BEGIN utc=2026-07-31T07:40:49.366Z monotonic_ns=2779635664088641
QUEUE_HOLDER_CREATE_RETURN utc=2026-07-31T07:40:49.690Z monotonic_ns=2779635986361830
QUEUE_HOLDER_READY_OBSERVED utc=2026-07-31T07:40:54.011Z monotonic_ns=2779640309418821
QUEUE_WAITER_CREATE_BEGIN utc=2026-07-31T07:40:54.064Z monotonic_ns=2779640362559767
QUEUE_WAITER_CREATE_RETURN utc=2026-07-31T07:40:54.409Z monotonic_ns=2779640706445377
CAPTURE_queue-during utc=2026-07-31T07:40:59.463Z monotonic_ns=2779645759905193
QUEUE_HOLDER_COMPLETE_OBSERVED utc=2026-07-31T07:41:27.191Z monotonic_ns=2779673488737468
QUEUE_WAITER_COMPLETE_OBSERVED utc=2026-07-31T07:41:38.254Z monotonic_ns=2779684553013062
CAPTURE_queue-final utc=2026-07-31T07:41:38.307Z monotonic_ns=2779684603993106
GANG_CREATE_BEGIN utc=2026-07-31T07:41:42.041Z monotonic_ns=2779688339674010
GANG_CREATE_RETURN utc=2026-07-31T07:41:42.713Z monotonic_ns=2779689010769953
CAPTURE_gang-below-threshold utc=2026-07-31T07:41:47.768Z monotonic_ns=2779694066284236
GANG_CAPABILITY_PATCH_BEGIN utc=2026-07-31T07:41:50.819Z monotonic_ns=2779697108939765
GANG_CAPABILITY_PATCH_RETURN utc=2026-07-31T07:41:51.129Z monotonic_ns=2779697426650922
GANG_COMPLETE_OBSERVED utc=2026-07-31T07:42:06.403Z monotonic_ns=2779712701727159
CAPTURE_gang-final utc=2026-07-31T07:42:06.456Z monotonic_ns=2779712752339994
preempt_CONFIG_PATCH_BEGIN utc=2026-07-31T07:42:10.601Z monotonic_ns=2779716898260370
preempt_CONFIG_READY utc=2026-07-31T07:42:14.480Z monotonic_ns=2779720777596591
PREEMPT_VICTIMS_CREATE_BEGIN utc=2026-07-31T07:42:17.934Z monotonic_ns=2779724232163912
PREEMPT_VICTIMS_CREATE_RETURN utc=2026-07-31T07:42:18.275Z monotonic_ns=2779724572132079
PREEMPT_VICTIMS_READY_OBSERVED utc=2026-07-31T07:42:23.486Z monotonic_ns=2779729783406071
CAPTURE_preempt-before utc=2026-07-31T07:42:23.538Z monotonic_ns=2779729833252862
PREEMPT_HIGH_CREATE_BEGIN utc=2026-07-31T07:42:26.547Z monotonic_ns=2779732844104234
PREEMPT_HIGH_CREATE_RETURN utc=2026-07-31T07:42:26.886Z monotonic_ns=2779733184410650
PREEMPT_HIGH_READY_OBSERVED utc=2026-07-31T07:42:31.538Z monotonic_ns=2779737835887384
PREEMPT_HIGH_COMPLETE_OBSERVED utc=2026-07-31T07:42:42.619Z monotonic_ns=2779748915416911
CAPTURE_preempt-after utc=2026-07-31T07:42:42.669Z monotonic_ns=2779748966056804
CLEANUP_BEGIN utc=2026-07-31T07:42:47.225Z monotonic_ns=2779753522144883
SCHEDULER_RESTORE_BEGIN utc=2026-07-31T07:42:47.276Z monotonic_ns=2779753572532862
SCHEDULER_RESTORE_READY utc=2026-07-31T07:42:50.741Z monotonic_ns=2779757041700186
CLEANUP_END utc=2026-07-31T07:42:52.695Z monotonic_ns=2779758992437765
EVALUATION_COMPLETE utc=2026-07-31T07:42:57.884Z monotonic_ns=2779764180938796
