I0731 07:30:25.892608       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:25.892658       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:25.892683       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:25.892707       1 session.go:279] Open Session c20f36a7-4ba4-4427-b7a7-6aeaee8ce912 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:25.893293       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:25.893317       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:25.893390       1 session.go:577] Close Session c20f36a7-4ba4-4427-b7a7-6aeaee8ce912
I0731 07:30:26.894590       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:26.894644       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:26.894671       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:26.894697       1 session.go:279] Open Session 55fc5bc0-7d45-4692-8ce1-0dbbe4c9ed97 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:26.895356       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:26.895382       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:26.895479       1 session.go:577] Close Session 55fc5bc0-7d45-4692-8ce1-0dbbe4c9ed97
I0731 07:30:27.896530       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:27.896597       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:27.896622       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:27.896646       1 session.go:279] Open Session 0c98670c-5aa7-435b-a96a-6643f288e622 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:27.897305       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:27.897328       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:27.897410       1 session.go:577] Close Session 0c98670c-5aa7-435b-a96a-6643f288e622
I0731 07:30:28.898372       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:28.898414       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:28.898440       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:28.898465       1 session.go:279] Open Session cb25a94d-1e3f-4d0f-89ef-3c20768e4b3a with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:28.899031       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:28.899054       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:28.899129       1 session.go:577] Close Session cb25a94d-1e3f-4d0f-89ef-3c20768e4b3a
I0731 07:30:29.902081       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:29.902223       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:29.902256       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:29.902284       1 session.go:279] Open Session c088b647-5188-4261-8093-b103ec68ecf6 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:29.903450       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:29.903481       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:29.903721       1 session.go:577] Close Session c088b647-5188-4261-8093-b103ec68ecf6
I0731 07:30:30.904917       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:30.904967       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:30.904994       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:30.905018       1 session.go:279] Open Session 2cd49f4e-44d0-4094-bab4-efd0658297eb with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:30.905504       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:30.905525       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:30.905599       1 session.go:577] Close Session 2cd49f4e-44d0-4094-bab4-efd0658297eb
I0731 07:30:31.906637       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:31.906667       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:31.906685       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:31.906708       1 session.go:279] Open Session 9954d3a9-0dc6-421a-b29c-dd3caf2a3462 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:31.907099       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:31.907119       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:31.907173       1 session.go:577] Close Session 9954d3a9-0dc6-421a-b29c-dd3caf2a3462
I0731 07:30:32.907701       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:32.907744       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:32.907768       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:32.907793       1 session.go:279] Open Session 25c52b5b-023a-4b3f-90f6-9a0f7fca9d32 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:32.908323       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:32.908346       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:32.908424       1 session.go:577] Close Session 25c52b5b-023a-4b3f-90f6-9a0f7fca9d32
I0731 07:30:33.909495       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:33.909539       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:33.909563       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:33.909587       1 session.go:279] Open Session df8a5075-1897-4d47-8b6c-c084972fe3b0 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:33.910112       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:33.910134       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:33.910204       1 session.go:577] Close Session df8a5075-1897-4d47-8b6c-c084972fe3b0
I0731 07:30:34.911045       1 cache.go:1581] "SnapShot for scheduling" jobNum=0 QueueNum=2 NodeNum=1
I0731 07:30:34.911095       1 session.go:1036] Start adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:34.911119       1 session.go:1079] Finish adjusting jobs' network topology spec according to hyperNodeTierNameMap map[]
I0731 07:30:34.911143       1 session.go:279] Open Session 91dac250-ef17-45db-8bfb-160ed5672417 with <0> Job and <2> Queues. HyperNodesReadyToSchedule: true
I0731 07:30:34.911666       1 enqueue.go:79] Try to enqueue PodGroup to 0 Queues
I0731 07:30:34.911689       1 allocate.go:138] Try to allocate resource to 0 Queues
I0731 07:30:34.911758       1 session.go:577] Close Session 91dac250-ef17-45db-8bfb-160ed5672417
